source_id,title,text,prediction,timestamp
TechNews Daily,Hillary Clinton is not shutting up and going away as some would like her to. Now that she is a priva...,"Hillary Clinton is not shutting up and going away as some would like her to. Now that she is a private citizen who has zero intention of running for office ever again, the former First Lady, Senator, Secretary of State, and 2016 Democratic Presidential nominee can speak her mind, and she did so in spectacular fashion at a dinner on Saturday night for the Human Rights Campaign. While speaking to the nation s largest LGBTQIA rights organization, Hillary turned her attentions to Fox News, the network that seems obsessed with her, even though she is a private citizen, and their criminal orange poster boy is the one who is currently squatting in the White House. Hillary said of Fox: It does strike me that in the last few days at least, Fox News seems to think that s where I live, in the White House. Because they spend a disproportionate amount of their time talking about impeaching me. So, look, if they want to make a trade, I d be more than willing. I would have much preferred to have come to the dinner tonight from a slightly closer residence. That s a trade I d be all for   and millions of other Americans feel the same way. The deeper issue here, though, is that Fox, like the rest of the world, knows that an indictment is coming from Special Counsel Robert Mueller on Monday, and they have no way to spin their way out of this one. So, what do they do instead? Tell their brainwashed viewers that Hillary Clinton is the real criminal here, and that Donald Trump is being witch hunted by the  fake media.  They whip those right-wing nuts up into a frenzy, all so that they can keep them just the way they like them: angry, ignorant, and frightening of boogie men on the left who don t exist.Give  em hell, Hillary. You ve earned that right.Watch the video below:Featured image via Darren McCollester/Getty Images",1,2025-11-22T14:43:31.625789
HealthFirst,"President Bone Spurs finally made it to Vietnam over 40 years too late this week, and he used the oc...","President Bone Spurs finally made it to Vietnam over 40 years too late this week, and he used the occasion to stab our intelligence community in the back again.While taking questions from reporters on Air Force One, Donald Trump was asked if he still believes Vladimir Putin s denial that Russia interfered with the 2016 Election even though the evidence proves that Russia meddled.Of course, Trump is Putin s puppet so he was quick to throw U.S. officials and U.S. agencies under a speeding bus to side with the Russian dictator. He said he didn t meddle, he said he didn t meddle,  Trump said.  I asked him again. You can only ask so many times. I just asked him again. He said he absolutely did not meddle in our election, he did not do what they are saying he did. As we all know, 17 agencies, including the FBI and CIA agree that Russian interfered with the 2016 Election. There is so much evidence that Trump is being investigated for colluding with Russia, not only by a special prosecutor, but by Congress as well.We also know that Trump s own son met with Kremlin-connected Russian officials at Trump Tower seeking their help. Not long after that meeting, Trump urged Russia to hack Hillary Clinton s emails and the DNC.Trump went on to claim that the  whole thing was set up by the Democrats  and desperately defended Putin again. Every time he sees me he says I didn t do that and I really believe that when he tells me that, he means it. But he says I didn t do that. I think he is very insulted by it, if you want to know the truth. Don t forget. All he said was he never did that, he didn t do that. I think he is very insulted by it, which is not a good thing for our country. Then Trump attacked the intelligence community officials who have testified under oath that Russia meddled with our democratic process. They re political hacks. So you look at it, and then you have Brennan, you have Clapper and you have Comey. Comey s proven now to be a liar and he s proven to be a leaker. So you look at that. And you have President Putin very strongly, vehemently says he had nothing to do with that. And there you have it. Trump would rather believe the word of a Russian dictator over the word of several high ranking American officials who spent most of their lives dedicated to keeping America and our democratic institutions safe.That alone should outrage the American people.Featured Image: Steffen Kugler /BPA via Getty Images",1,2025-11-24T21:43:31.625789
TechNews Daily,"The Attorney General of the United States lied under oath, but that seems to be the status quo in th...","The Attorney General of the United States lied under oath, but that seems to be the status quo in the Trump administration. During Sessions  confirmation hearing in January, he told Sen. Al Franken (D-MN) that he was  not aware  of evidence that anyone affiliated with the Trump campaign communicated with the Russian government during the campaign. But today, his selective memory issues seem to be clearing up. However, the only reason Sessions is admitting there was contact with the Trump administration is because of court documents that were unsealed Monday revealing that Donald Trump s former campaign adviser, George Papadopoulos, floated the idea of setting up a meeting between the former reality show star and Russian President Vladimir Putin in March 2016. Papadopoulos claimed he had  connections  that could help arrange the meeting between Trump and Putin.On top of that, an Instagram picture on Trump s account shows Sessions attended the meeting in which Papadopoulos made the suggestion.So, it s kind of a big deal, and Special Counsel Robert Mueller is all up in this administration s business over the Russia scandal. A source familiar with the matter told NBC that Sessions rejected the meeting.And apparently, Sessions doesn t remember if he remembers that. Or something.Source clarifies: Unclear whether Sessions recalls nixing the Papadopoulos proposal for Trump Putin meeting   though he did do so.  Ken Dilanian (@KenDilanianNBC) November 2, 2017Sen. Franken isn t too happy about the  alarming pattern  in which Sessions  apparently failed to tell the truth, under oath, about the Trump team s contacts with agents of Russia a hostile foreign power that interfered in the 2016 election. Once again, developments in the ongoing investigation into Russian interference in the 2016 election have brought to light evidence that you failed to tell the truth about your interactions with Russian operatives during the campaign, as well as your awareness of Russian contacts by other members of the Trump campaign team,  Franken wrote in a statement. We must get to the bottom of what happened so that we can prevent it from happening again,  Franken wrote.  I am deeply troubled that this newest revelation strongly suggests that the Senate and the American public cannot trust your word. In June, Sessions said that he had  no knowledge  of any conversations by anyone connected to the Trump campaign about  any type of interference with any campaign  by Russians.Who knew that a racist elf would lie? Certainly, none of us would have ever guessed.Featured image via Alex Wong/Getty Images.",1,2025-11-23T17:43:31.625789
TechNews Daily,"Conservatives should shun Tony Perkins for this.Earlier this week, Ohio GOP state Rep. Wes Goodman w...","Conservatives should shun Tony Perkins for this.Earlier this week, Ohio GOP state Rep. Wes Goodman was busted for carrying on a same-sex affair in his taxpayer funded office, forcing him to tender his resignation.But there is an even worse transgression in Goodman s past, one that should drag the Family Research Council leader to hell with him.As it turns out, Goodman once fondled an 18-year-old without consent in his hotel room at the Ritz Carlton in Washington D.C.The teen s stepfather was quick to alert Perkins of the incident via email, warning him that continuing to endorse Goodman would be a mistake. If we endorse these types of individuals, then it would seem our whole weekend together was nothing more than a charade,  the teen s stepfather wrote. Trust me,  Perkins replied.  This will not be ignored nor swept aside. It will be dealt with swiftly, but with prudence. Perkins withdrew his support and suspended Goodman from the Council for National Policy. Going forward so soon, without some distance from your past behavior and a track record of recovery, carries great risk for you and for those who are supporting you,  Perkins wrote to Goodman.But Perkins failed to report the crime to law enforcement. Instead, he kept quiet and allowed a sexual predator to gain public office. In fact, even the board members of the Council for National Policy knew about the crime because Perkins informed them, and none of them did a damn thing about it.And this all happened just two years ago in 2015. Surely, Perkins and the board members he told can still be prosecuted for failing to report Goodman to the authorities.Because they definitely should be.Featured Image: Wikimedia",1,2025-11-22T05:43:31.625789
TechNews Daily,"On Monday, news broke that Trump s onetime campaign manager, Paul Manafort, had been indicted in con...","On Monday, news broke that Trump s onetime campaign manager, Paul Manafort, had been indicted in connection with Robert Mueller s investigation into Russian interference in our election. Ever since then, everyone s been buzzing about just how dangerous Manafort can be to Trump now. However, we also learned that another Trump associate by the name of George Papadopoulos had been arrested over the summer and pleaded guilty to lying to the FBI.And Papadopoulos may well be more important to this investigation than Manafort, despite the fact that he isn t that well known. Why? Because contrary to what Sarah H. Sanders tries telling the media, he was a foreign policy adviser on Trump s campaign who did, in fact, try colluding with the Russians. And it s his testimony and documents that could bring Trump s presidency crashing down around him.One official connected to the campaign, and who reportedly witnessed Papadopoulos  efforts to get Trump to meet with Russian officials, says that Trump didn t dismiss the idea of working with Russia when it was brought up. If Papadopoulos can show that s what actually happened, Trump himself will be in a lot of trouble sooner than expected.During his confirmation hearing back in January, Sessions told Senator Al Franken that he wasn t aware of any evidence that anyone colluded with Russia. He later walked that back, but Papadopoulos apparently told various foreign policy committee members about his contact with Russia   a committee which Sessions chaired. Now, Sessions can claim that he opposed the collusion that Papadopoulos was trying to set up, but then he opens himself up to a perjury charge. Either way, he s fucked.It looks like Papadopoulos was meeting with Russians because they claimed to have dirt on Hillary. His contacts go back to before Don Jr., Jared Kushner and Paul Manafort met with a Russian attorney who claimed to have dirt on Hillary. (Don Jr. originally lied, saying that the meeting was about reinstating adoptions between us and Russia, but then released his own emails that proved he d lied.)Then the DNC was hacked, and the hack was traced back to Russia. Trump even called on Russia to release Hillary s missing emails during the RNC convention; a comment that has been analyzed again and again with some dismissing it as a joke and others saying it was evidence of something deeper.There s currently no evidence that anything actually came of that June 2016 meeting. However, if Papadopoulos can back up what he said in his plea agreement about the campaign knowing, then it stops being a scandal and becomes active collusion.Manafort and Gates have been charged with things like money laundering, failure to register as foreign agents, etc. The key with these two is whether Mueller can get them to roll over on Trump and other highly placed officials in exchange for lesser charges.Papadopoulos, on the other hand, told the FBI that his Russian contacts weren t anyone important and that they had nothing to do with Trump, his campaign, or the election. We now know he was in Europe, meeting with Russians and trying arrange meetings between none other than Vladimir Putin and Donald Trump. There s a direct line back to the campaign there, whereas the charges against Manafort and Gates could be seen as only tangentially related.Papadopoulos is already a cooperating witness in Mueller s investigation, and there is no evidence yet that Manafort or Gates have flipped, or will flip. And since everything about Papadopoulos  arrest has to do with his activities on the campaign, that makes him far more dangerous to Trump right now than Gates and Manafort.Featured image via Chip Somodevilla/Getty Images",1,2025-11-22T06:43:31.625789
FinanceHub,WASHINGTON (Reuters) - Two of President Donald Trump’s judicial nominees will not be confirmed by th...,"WASHINGTON (Reuters) - Two of President Donald Trump’s judicial nominees will not be confirmed by the Republican-controlled U.S. Senate following criticism over controversial statements they made, a White House official said. The official said on Wednesday that the two nominations “will not be moving forward” in the U.S. Senate. One of the nominees, Brett Talley, selected for a district court position in Alabama, had already said he would withdraw.  The other, Jeff Mateer, nominated to serve as a district court judge in Texas, was already hanging by a thread although he has not officially withdrawn. Senator Chuck Grassley, a Republican who chairs the influential Senate committee that overseas judicial nominations, said on Wednesday that he “doesn’t anticipate that either nominee would be confirmed,” a spokesman said.    The move came a day after Grassley raised concerns about the statements the two nominees had made. Talley was reported by online magazine Slate as having posted online sympathetic comments about the early history of the Ku Klux Klan (KKK) white supremacist group. He also failed to disclose that his wife works in the White House Counsel’s office, which overseas judicial nominations. Mateer has run into trouble over speeches he made in 2015. In one, he referred to transgender children as being part of “Satan’s plans,” CNN reported. Trump has made significant progress in filling vacancies on the federal courts with conservative judges. He also appointed Justice Neil Gorsuch to fill a vacancy on the Supreme Court. ",0,2025-11-22T16:43:31.625789
HealthFirst,"When Sen. Al Franken (D-MN) announced his plans to resign Thursday, he specifically called out Donal...","When Sen. Al Franken (D-MN) announced his plans to resign Thursday, he specifically called out Donald Trump over the Access Hollywood video and Roy Moore, an alleged pedophile who is running for the Senate seat in Alabama with the GOP s blessing. Donald Trump Jr., not known for being a brainiac, decided to mock Franken on Twitter as if he didn t listen to the Democrat s amazing speech. Junior invoked one of the former comedian s  Saturday Night Live  most well-known characters, writing,  because I m good enough, I m smart enough, and God-darnit people like me  and included the hashtag  #Franken. because I m good enough, I m smart enough, and God-darnit people like me. #Franken  Donald Trump Jr. (@DonaldJTrumpJr) December 7, 2017Twitter gave Junior a wake-up call:pic.twitter.com/NmuRm5MgMz  liberalgranny50 (@peppersandeggs) December 7, 2017I am sure daddy @realDonaldTrump can sympathize as he is a fellow sexual predator  pic.twitter.com/Qesftp1u28  Matt Slavin (@tHemAttsLavin) December 7, 2017 Grab  em by the pussy.  Donald Trump.  Mrs. SMH (@MRSSMH2) December 7, 2017Did you wear a diaper when you tweeted this?  Tony Posnanski (@tonyposnanski) December 7, 2017 And when you re a star, they let you do it. You can do anything. Grab  em by the pussy.    your dad  Aaron Rupar (@atrupar) December 7, 2017Your father is a rapist. Ask your mom if you don t believe me.Also: you ll be in prison this time next year, traitor.  Greg Olear (@gregolear) December 7, 2017This is coming from Donald  I do not recall  Trump Jr.  Rep. Jackie Sharp (@JackieSharp) December 7, 2017Can t wait to tweet joke about you when you go to prison. pic.twitter.com/JajOLBYqc6  American Dad   (@okiedokiepokey) December 7, 2017pic.twitter.com/zB2kijzXk1  Meghan Morris (@seaghost78) December 7, 2017 I moved on her actually. You know she was down on Palm Beach. I moved on her and I failed. I ll admit it. I did try and fuck her. She was married. Your Dad #Franken #25thAmendmentNow  Lesley Abravanel (@lesleyabravanel) December 7, 2017Calm down Fredo, go shoot a sedated animal or something, it s what you re good at.  Motive of Christmas Past (@Falsemotive) December 7, 2017Yes, Jr, your Father (Sexual Predator) such a shining example to your 2 daughters.  Nothing in the world like First Rate P*ssy  he said.  cantblameobamaanymor (@DrRev_Mustafa1) December 7, 2017Franken said during his speech, I, of all people, am aware that there is some irony in the fact that I am leaving while a man who has bragged on tape about his history of sexual assault sits in the Oval Office and a man who has repeatedly preyed on young girls campaigns for the Senate with the full support of his party. Trump and Moore support each other.Photo by Jeff Vinnick/Getty Images",1,2025-11-22T13:43:31.625789
TechNews Daily,"A new animatronic figure in the Hall of Presidents at Walt Disney World was added, where every forme...","A new animatronic figure in the Hall of Presidents at Walt Disney World was added, where every former leader of the republic is depicted in an  audio-animatronics show.  The figure which supposedly resembles Jon Voight Donald Trump was added to the collection and it s absolutely horrifying. The internet noticed that, too.Here s a few more pictures of the Donald Trump animatronic. #HallOfPresidents pic.twitter.com/a45En9Jwys  WDW News Today (@WDWNT) December 19, 2017Trump robot in the Hall of Presidents looks like a 71-year-old Chucky doll. pic.twitter.com/yLCBmhpNvG  John Cohen (@JohnCohen1) December 19, 2017Breaking: 7 Disney Princesses and a Storm Trooper have come forward alleging Hall of Presidents Trump made lewd comments to them  Brohibition Now (@OhNoSheTwitnt) December 19, 2017Trump s animatronic figure for the Disney Hall of Presidents looks like it was carved out of Play-Doh and left out in the Florida heat, where it was discovered by a dying albino squirrel who settled atop its head and has been left there to decompose. pic.twitter.com/3vMZUTEylx  Elizabeth M. (@_ElizabethMay) December 19, 2017In a time w/ so many heavy items, thank you to Disney for the laugh. They did so much so well in the @realDonaldTrump animatronic.  Little hands, check   Absurdly long tie, check   Horrifying face, checkmateWhen Trump is impeached, can they move this to the Haunted Mansion? https://t.co/XrOvu32EV8  State of Resistance (@AltStateDpt) December 19, 2017all the other presidents in Disney s new Hall of Presidents look like they can t believe Donald Trump is president either pic.twitter.com/eMP9UX1bM8  Matt Binder (@MattBinder) December 18, 2017Disney unveiled Trump figure at the Hall of Presidents. To save production costs, they pulled the animated hands off of a retired figurine from the Its a Small World ride.  Tim Hanlon (@TimfromDa70s) December 19, 2017The best part of Donald Trump being in Disney s Hall of Presidents will be when they remove him from the Hall of Presidents and put him in the Pirates of the Caribbean ride s jail. pic.twitter.com/XViyKFQCET  Rex Huppke (@RexHuppke) December 19, 2017Comment today by local news channel anchor in Orlando:  Donald Trump robot just added to Disney s Hall of Presidents. I hope they programmed all the former presidents to not roll their eyes and shake their heads while he s talking.  Mark Hertling (@MarkHertling) December 19, 2017NPR: Disney World Adds Trump Animatronic Figure, But Likeness Is Lacking. But who REALLY wants to look at an accurate Donald? The man is about as presidential looking as a fucking Pokemon. https://t.co/HFYJRkefJ1  Stephen (@Harvest_This) December 19, 2017Could we put the animatronic version in the White House and the  real  one in Disney World? Asking for 7.6 billion people and the future of the planet. https://t.co/65FhbQHuV4 #Disney #Trump #JonVoight  David Schmid (@DavidSchmid1) December 19, 2017We re pretty sure Disney is trolling Trump.Image via Twitter.",1,2025-11-25T12:43:31.625789
HealthFirst,Fox News host Sean Hannity is having a Twitter meltdown after Time called out Donald Trump for claim...,"Fox News host Sean Hannity is having a Twitter meltdown after Time called out Donald Trump for claiming that the magazine called him regarding the Person of the Year award and that he declined the offer.Time magazine corrected Trump in a tweet, writing,  The President is incorrect about how we choose Person of the Year. TIME does not comment on our choice until publication, which is December 6. The magazine calling out Trump was too much to bear for Trump cult member Sean Hannity who called it  bullshit  just hours after Time denied the former reality show star s bizarre claim. I call total Bullshit on Time. Answer the question; did you or did you not call the WH and say @realDonaldTrump @POTUS was being considered for person of the year and ask for an interview?  Hannity tweeted Friday.I call total Bullshit on Time. Answer the question; did you or did you not call the WH and say @realDonaldTrump @POTUS was being considered for person of the year and ask for an interview? https://t.co/DaqfDBsr0V  Sean Hannity (@seanhannity) November 25, 2017And again.So @Time is worse than Fake News @CNN. The coming ice age,  The Big Cool  ha. https://t.co/mppoFtFsvc  Sean Hannity (@seanhannity) November 25, 2017Sean really wants the magazine s attention.Waiting  https://t.co/90GSYMVVKU  Sean Hannity (@seanhannity) November 25, 2017Twitter users, of course, are calling out Liddle Sean.You re questioning Time? Why aren t you questioning the man who hung fake Time covers of himself in his resorts? It s sad you haven t caught on to his lies yet, Sean.  Mrs. SMH (@MaraLaGoFuckYou) November 25, 2017pic.twitter.com/UJtVSaKgOF  What the Fork (@WhattheForkLLC) November 25, 2017Only the finest make it on @TIME @POTUS44 @MichelleObama pic.twitter.com/fGLX2Rzgwo  NAT (@N_A_T_39) November 25, 2017LMAO! Let s look at this logically. @Time magazine has been in business 93 years. It s never gone bankrupt. It s a respected institution.@realdonaldtrump has gone bankrupt 4 times, has been caught in scores of lies including a fake Time cover mounted on his golf club walls. pic.twitter.com/ywzr96arh1  Annalise   Brown (@SWFLib) November 25, 2017Donnie can t stand the idea of Obama being Time s Man of the Year in the first year of his presidency. He knows he ll never be half the man or the President @BarackObama was, and it s eating him up inside. pic.twitter.com/ROMxC3oc7C  Annalise   Brown (@SWFLib) November 25, 2017As this woman notes, Trump has always been obsessed with Time magazine.Honey, just get the man warm milk and one for yourself Also. pic.twitter.com/LMV9lwg9Lx  kastherine (@Mercedes8_S) November 25, 2017Find a comfy chair. Drink some warm milk. And wait for the voices to stop.  Charles P. Pierce (@CharlesPPierce) November 25, 2017With Trump s history, a man who literally hangs photoshopped Time magazine covers featuring his big stupid face, on the walls of at least 4 of his golf courses, we re pretty it s not Time magazine who is lying.Photo by Rob Kim/Getty Images.",1,2025-11-23T10:43:31.625789
HealthFirst,"In America, we have been having a conversation about police brutality against black Americans. Despi...","In America, we have been having a conversation about police brutality against black Americans. Despite the countless black people murdered unjustly by police, there is usually no justice. Sandra Bland, Philando Castile, Keith Lamont Scott, Michael Brown, Freddie Gray too many to mention here, really. All of those people were senselessly murdered by cops who chose to be their judges, juries, and executioners, and they did so with impunity and without consequence. However, there is hope, and it is coming out of South Carolina, of all places.North Charleston police officer Michael Slager murdered Walter Scott, a black man who was fleeing after a routine traffic stop in cold blood in 2015. He would have gotten away with it, too, had it not been for a citizen who was brave enough to tape the murder. The tape showed that Slager had lied about his life being in danger, and it showed him cuffing Scott s lifeless body, and then planting a taser as  evidence.  Here is the news report of that damning tape:Thanks to that tape, Slager was arrested and charged with murder. Now, fast forward two years later, and Slager has been convicted of murder. U.S. District Judge David Norton decided to throw the book at Slager, and sentenced the murdering ex-cop to 19-24 years in prison.The original case ended in a mistrial, but the state of South Carolina seemed determined to get justice for Walter Scott, and that happened on December 7, 2017.  Of course, Slager s family begged for mercy from the judge, but luckily those calls were ignored. Michael Slager is a murderer, and he deserves the sentence he got.So many times, these cases end with the murderous cops back on the force, out in the streets after what amounts to nothing more than a paid vacation, free to murder another black person at will again. Thankfully, for once, the system worked as it should. For once, I am proud to be a South Carolinian. Hopefully this sets a precedent, and helps us turn a corner toward the arc of justice.Watch the video of the remarks of the Scott family below: Featured image via Grace Beahm-Pool/Getty Images",1,2025-11-23T16:43:31.625789
